Temp UID,SF 1.0 Object,SF 1.0 Field,SF 2.0 Object,SF 2.0 Field,Ignore,temp,Filter Logic (SOQL),Transformation Logic (JSON)
Account-Id,Account,Id,Account,Id,,,,
Account-Name,Account,Name,Account,Name,,,,
Account-OwnerId,Account,OwnerId,Account,Owner.External_Id__c,,,,
Account-RecordTypeId,Account,RecordTypeId,Account,RecordTypeId,,,,
Account-Sales__c,Account,Sales__c,Account,Sales__c,,,,
Account-Type,Account,Type,Account,Type,,,,
Account-Status__c,Account,Status__c,Account,Status__c,,,,
Account-Business_Unit__c,Account,Business_Unit__c,Account,Business_Unit__c,,,,
Account-AccountSource,Account,AccountSource,Account,AccountSource,,,,
Account-,Account,,Account,SL_Total_Upfront__c,,,,
Account-,Account,,Account,SL_Upfront_Consumed__c,,,,
Account-,Account,,Account,SL_Upfront_Remaning__c,,,,
Account-,Account,,Account,Brand_Code__c,,,,
Account-percent_change__c,Account,percent_change__c,Account,percent_change__c,,,,
Account-sales_previous__c,Account,sales_previous__c,Account,sales_previous__c,,,,
Account-Data_Warehouse_Id__c,Account,Data_Warehouse_Id__c,Account,Data_Warehouse_Id__c,,,,
Account-CIL_Target_Current_Fiscal_Year__c,Account,CIL_Target_Current_Fiscal_Year__c,Account,CIL_Target_Current_Fiscal_Year__c,,,,
Account-ATV_Target_Current_Fiscal_Year__c,Account,ATV_Target_Current_Fiscal_Year__c,Account,ATV_Target_Current_Fiscal_Year__c,,,,
Account-CIL_Target_Previous_Fiscal_Year__c,Account,CIL_Target_Previous_Fiscal_Year__c,Account,CIL_Target_Previous_Fiscal_Year__c,,,,
Account-Media_Target_Current_Fiscal_Year__c,Account,Media_Target_Current_Fiscal_Year__c,Account,Media_Target_Current_Fiscal_Year__c,,,,
Account-Media_Target_Previous_Fiscal_Year__c,Account,Media_Target_Previous_Fiscal_Year__c,Account,Media_Target_Previous_Fiscal_Year__c,,,,
Account-Upfront_Target_Current_Fiscal_Year__c,Account,Upfront_Target_Current_Fiscal_Year__c,Account,Upfront_Target_Current_Fiscal_Year__c,,,,
Account-Upfront_Target_Previous_Fiscal_Year__c,Account,Upfront_Target_Previous_Fiscal_Year__c,Account,Upfront_Target_Previous_Fiscal_Year__c,,,,
Account-ATV_Target_Previous_Fiscal_Year__c,Account,ATV_Target_Previous_Fiscal_Year__c,Account,ATV_Target_Previous_Fiscal_Year__c,,,,
Account-Tier__c,Account,Tier__c,Account,Tier__c,,,,
Account-Comms_Client_Pricing_Type__c,Account,Comms_Client_Pricing_Type__c,Account,Comms_Client_Pricing_Type__c,,,,
Account-BCC_Target_Current_Fiscal_Year__c,Account,BCC_Target_Current_Fiscal_Year__c,Account,BCC_Target_Current_Fiscal_Year__c,,,,
Account-BCC_Target_Previous_Fiscal_Year__c,Account,BCC_Target_Previous_Fiscal_Year__c,Account,BCC_Target_Previous_Fiscal_Year__c,,,,
Brand__c-Id,Brand__c,Id,Account,Id,,,SELECT…FROM Account WHERE RecordType.DeveloperName = 'Brand',
Brand__c-Name,Brand__c,Name,Account,Name,,,SELECT…FROM Account WHERE RecordType.DeveloperName = 'Brand',
Brand__c-Brand_Code__c,Brand__c,Brand_Code__c,Account,Brand_Code__c,,,SELECT…FROM Account WHERE RecordType.DeveloperName = 'Brand',
Brand__c-Status__c,Brand__c,Status__c,Account,Status__c,,,SELECT…FROM Account WHERE RecordType.DeveloperName = 'Brand',
Account-IsDeleted,Account,IsDeleted,Account,IsDeleted,,,,
Account-MasterRecordId,Account,MasterRecordId,Account,MasterRecordId,,,,
Account-ParentId,Account,ParentId,Account,ParentId,,,,
Account-BillingStreet,Account,BillingStreet,Account,BillingStreet,,,,
Account-BillingCity,Account,BillingCity,Account,BillingCity,,,,
Account-BillingState,Account,BillingState,Account,BillingState,,,,
