Load_Order,Object,Enabled,Manual_Override_Order,Dependency_Objects,Dependency_Fields,Self_Dependency_Fields,External_Dependency_Fields,Dependency_Status,Reason,Notes
10,Notes,FALSE,,,,,,DESCRIBE_FAILED,Object describe failed; review manually. No scoped object dependencies detected.,
20,OpportunityLineItemSchedule__c,TRUE,280,OpportunityLineItem,OpportunityLineItemId -> OpportunityLineItem,,,MANUAL_REVIEW_CYCLE,Depends on scoped object(s): OpportunityLineItem.,Manual order: SF 2.0 custom target for SF 1.0 OpportunityLineItemSchedule; after OpportunityLineItem.
30,TerritoryAdminAssignment,FALSE,,,,,,DESCRIBE_FAILED,Object describe failed; review manually. No scoped object dependencies detected.,
40,Account,TRUE,,Cost_Center__c; Mission__c; RecordType; User,CreatedById -> User; LastModifiedById -> User; MIA_Cost_Center__c -> Cost_Center__c; MIA_Mission__c -> Mission__c; OwnerId -> User; Salesperson__c -> User,Associated_Stratum_Contract_Account__c; Comms_Operating_Parent_MFG_SF_Acc__c; MasterRecordId; ParentId,RecordTypeId -> RecordType,MANUAL_REVIEW_CYCLE; MANUAL_REVIEW_SELF_REFERENCE; HAS_EXTERNAL_DEPENDENCIES,Depends on scoped object(s): Cost_Center__c; Mission__c; RecordType; User. Self-reference field(s): Associated_Stratum_Contract_Account__c; Comms_Operating_Parent_MFG_SF_Acc__c; MasterRecordId; ParentId. External reference field(s): RecordTypeId -> RecordType.,
50,AccountContactRelation,TRUE,,Account; Contact; User,AccountId -> Account; ContactId -> Contact; CreatedById -> User; LastModifiedById -> User,,,MANUAL_REVIEW_CYCLE,Depends on scoped object(s): Account; Contact; User.,
60,AccountContactRole,TRUE,,Account; Contact; User,AccountId -> Account; ContactId -> Contact; CreatedById -> User; LastModifiedById -> User,,,MANUAL_REVIEW_CYCLE,Depends on scoped object(s): Account; Contact; User.,
70,AccountTeamMember,TRUE,,Account; User,AccountId -> Account; CreatedById -> User; LastModifiedById -> User; UserId -> User,,,MANUAL_REVIEW_CYCLE,Depends on scoped object(s): Account; User.,
80,AccountUserTerritory2View,TRUE,,Account; Territory2; User,AccountId -> Account; Territory2Id -> Territory2; UserId -> User,,,MANUAL_REVIEW_CYCLE,Depends on scoped object(s): Account; Territory2; User.,
90,Account_Relationship__c,TRUE,,Account; Opportunity,Main_Account__c -> Account; Originating_Opportunity__c -> Opportunity; Secondary_Account__c -> Account,CPG_Relationship__c,,MANUAL_REVIEW_CYCLE; MANUAL_REVIEW_SELF_REFERENCE,Depends on scoped object(s): Account; Opportunity. Self-reference field(s): CPG_Relationship__c.,
100,Account_Source_System_Xref__c,TRUE,100,Account; Source_System__c; User,Account_Id__c -> Account; CreatedById -> User; LastModifiedById -> User; Source_System_Id__c -> Source_System__c,,,MANUAL_REVIEW_CYCLE,Depends on scoped object(s): Account; Source_System__c; User.,
110,Alternate_Account_Address__c,TRUE,,Account; User,Account__c -> Account; CreatedById -> User; LastModifiedById -> User,,,MANUAL_REVIEW_CYCLE,Depends on scoped object(s): Account; User.,
120,Campaign,TRUE,,PardotTenant; RecordType; User,CreatedById -> User; LastModifiedById -> User; OwnerId -> User,ParentId,CampaignMemberRecordTypeId -> RecordType; TenantId -> PardotTenant,MANUAL_REVIEW_CYCLE; MANUAL_REVIEW_SELF_REFERENCE; HAS_EXTERNAL_DEPENDENCIES,Depends on scoped object(s): PardotTenant; RecordType; User. Self-reference field(s): ParentId. External reference field(s): CampaignMemberRecordTypeId -> RecordType; TenantId -> PardotTenant.,
130,CampaignMember,TRUE,,Account; Campaign; Contact; Group; Lead; User,CampaignId -> Campaign; ContactId -> Contact; CreatedById -> User; LastModifiedById -> User; LeadId -> Lead; LeadOrContactId -> Account; LeadOrContactId -> Contact; LeadOrContactId -> Lead; LeadOrContactOwnerId -> User,,LeadOrContactOwnerId -> Group,MANUAL_REVIEW_CYCLE; HAS_EXTERNAL_DEPENDENCIES,Depends on scoped object(s): Account; Campaign; Contact; Group; Lead; User. External reference field(s): LeadOrContactOwnerId -> Group.,
140,Change_Account_Territory__c,FALSE,,Account; Group; User,CreatedById -> User; LastModifiedById -> User; Manager_of_Owner__c -> User; Manager_of_allign_user__c -> User; OwnerId -> User; What_is_the_name_of_this_Accoun__c -> Account; Who_is_this_request_for__c -> User,,OwnerId -> Group,MANUAL_REVIEW_CYCLE; HAS_EXTERNAL_DEPENDENCIES,Depends on scoped object(s): Account; Group; User. External reference field(s): OwnerId -> Group.,
150,Client_Event__c,FALSE,,Account; Event__c; Group; User,Account__c -> Account; CreatedById -> User; LastModifiedById -> User; OwnerId -> User,,Event__c -> Event__c; OwnerId -> Group,MANUAL_REVIEW_CYCLE; HAS_EXTERNAL_DEPENDENCIES,Depends on scoped object(s): Account; Event__c; Group; User. External reference field(s): Event__c -> Event__c; OwnerId -> Group.,
160,Commodity__c,FALSE,,Group; User,CreatedById -> User; LastModifiedById -> User; OwnerId -> User,,OwnerId -> Group,MANUAL_REVIEW_CYCLE; HAS_EXTERNAL_DEPENDENCIES,Depends on scoped object(s): Group; User. External reference field(s): OwnerId -> Group.,
